id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Thunder Parade,Silver Pulse,metal,angry,0.88,140,0.32,0.65,0.08
12,Rainforest Whisper,Green Echo,folk,serene,0.33,85,0.72,0.45,0.80
13,City Lights,Neon Drift,electronic,energetic,0.86,128,0.67,0.92,0.12
14,Summer Shore,Coral Tide,reggae,laid-back,0.59,96,0.75,0.68,0.55
15,Midnight Mystery,Luna Pulse,world,thoughtful,0.47,88,0.58,0.50,0.70
16,Desert Mirage,Sahara Bloom,latin,playful,0.79,118,0.77,0.88,0.22
17,Winter Lanterns,Aurora Line,classical,calm,0.25,68,0.85,0.30,0.94
